day,side,entry_et,exit_et,held_s,reason,points,pnl
2026-06-23,long,15:16:30,15:16:31,1.4,stop,-5.0,-105.0
2026-06-23,short,15:16:45,15:16:48,3.2,stop,-5.0,-105.0
2026-06-23,long,15:17:00,15:17:01,0.9,stop,-5.0,-105.0
2026-06-23,short,15:17:15,15:17:28,13.5,target,10.0,195.0
2026-06-23,short,15:17:30,15:18:03,33.0,target,10.0,195.0
2026-06-23,short,15:18:15,15:18:19,4.3,stop,-5.0,-105.0
2026-06-23,short,15:18:30,15:19:00,30.0,jev,-0.0,-5.0
2026-06-23,long,15:19:00,15:19:20,19.9,stop,-5.0,-105.0
2026-06-23,short,15:19:30,15:20:15,45.0,jev,3.25,60.0
2026-06-23,long,15:20:15,15:20:17,2.5,target,10.0,195.0
